InterCoCC,Product,Month,Currency,Received Qty,Total
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1621+,2023/1,EUR,1,780.67
ES,DS1621+,2023/1,EUR,1,780.67
ES,DS1621+,2023/1,EUR,1,780.67
ES,DS1621+,2023/1,EUR,1,780.67
ES,DS1621+,2023/1,EUR,2,1561.34
ES,DS1621+,2023/1,EUR,2,1561.34
ES,DS1621XS+,2023/1,EUR,1,1317.75
ES,DS1621XS+,2023/1,EUR,1,1317.75
ES,DS1821+,2023/1,EUR,-1,-867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS1821+,2023/1,EUR,1,867.31
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,1,206.11
ES,DS218,2023/1,EUR,10,2061.1
ES,DS218,2023/1,EUR,16,3297.76
ES,DS218PLAY,2023/1,EUR,4,725.96
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
ES,DS220+,2023/1,EUR,1,259.92
